代號	股數	成本	幣別	現價	市值	權重%	損益	報酬率	MA10	RSI(14)	波動率	夏普值	索提諾	卡瑪比	在險價值 (Value at Risk)	MDD	估值 (Est)	舊訊號	殖利率	更新時間	Action (V17.12)	Strength	行動建議	Alpha	Beta			
CNDX.L	4	1384.26	USD	1425.8	5703.2	6%	166.16	3%	1430	43.9	18%	1.13	1.65	1.13	-7%	-22%	1.7	BUY_DIP	0.00%	02-20 8:38	BUY_DIP	120%	多頭回測季線	0.193	0.07			
CSPX.L	16	708.34	USD	736.93	11790.88	11%	457.44	4%	739.44	47.5	14%	1.18	1.73	1.14	-5%	-19%	1.8	BUY_DIP	0.00%	02-20 8:38	BUY_DIP	120%	多頭回測季線	0.000	1.00			
VWRA.L	98	170.83	USD	175.64	17212.72	17%	471.38	3%	175.86	54.8	13%	1.17	1.72	1.23	-5%	-16%	1.7	DCA_ONLY	0.00%	02-20 8:38	DCA_ONLY	50%	維持長期定投	0.005	0.91			
SMH.L	20	59.35	USD	72.03	1440.6	1%	253.6	21%	71.69	56.3	31%	1.22	1.79	1.23	-12%	-36%	1.5	PAUSE_BUY	0.00%	02-20 8:38	PAUSE_BUY	100%	乖離年線過大/過熱	0.089	1.79			
SCHG	61.13	31.95	USD	30.65	1873.6345	2%	-79.469	-4%	30.82	36.9	19%	1.08	1.6	1.1	-7%	-23%	2.1	BUY_STRONG	0.38%	02-20 8:38	BUY_STRONG	150%	跌破年線/超賣 (便宜)	0.166	0.26			
JEPQ.L	80	26.46	USD	26.075	2086	2%	-30.8	-1%	26.23	43.2	17%	0.04	0.06	0.16	-6%	-21%	-	BUY_INCOME	11.02%	02-20 8:38	BUY_INCOME	40%	殖利率買點	-0.095	0.95			
AIAI.L	150	27.67	USD	28.275	4241.25	4%	90.75	2%	27.98	49.9	25%	0.93	1.34	0.9	-10%	-30%	2.2	BUY_DIP	0.00%	02-20 8:38	BUY_DIP	120%	多頭回測季線	0.220	0.09			
NUCL.L	55	63.38	USD	65.85	3621.75	4%	135.85	4%	65.01	53.8	34%	1.35	2.08	1.67	-13%	-34%	2.5	PAUSE_BUY	0.00%	02-20 8:38	PAUSE_BUY	100%	乖離年線過大/過熱	0.251	1.33			
NATO.L	100	20.76	USD	20.435	2043.5	2%	-32.5	-2%	19.95	56.3	19%	1.84	2.91	3.4	-7%	-13%	1.8	DCA_ONLY	0.00%	02-20 8:38	DCA_ONLY	50%	維持長期定投	0.330	0.07			
IUHC.L	60	12.47	USD	12.53	751.8	1%	3.6	0%	12.58	50	13%	0.37	0.52	0.47	-5%	-18%	1.9	DCA_ONLY	0.00%	02-20 8:38	DCA_ONLY	50%	維持長期定投	0.043	0.01			
IB01.L	53	119.78	USD	119.4	6328.2	6%	-20.14	0%	119.33	88.6	0%	1.89	6.32	0	0%	0%	-	PARK_CASH	0.00%	02-20 8:38	PARK_CASH	10%	防禦/現金停泊	0.006	0.00			
VUAA.L	25	133.3	USD	132.12	3303	3%	-29.5	-1%	132.6	47.3	14%	1.18	1.73	1.14	-5%	-18%	1.8	BUY_DIP	0.00%	02-20 8:38	BUY_DIP	120%	多頭回測季線	0.000	1.00			
DFNS.L	25	66.9	USD	70.52	1763	2%	90.5	5%	68.38	55.4	21%	2	3.15	3.65	-8%	-15%	1.8	DCA_ONLY	0.00%	02-20 8:38	DCA_ONLY	50%	維持長期定投	0.271	0.91			
URNU.L	35	31.69	USD	32.985	1154.475	1%	45.325	4%	32.28	53.4	41%	1.07	1.66	1.25	-16%	-39%	2.5	PAUSE_BUY	0.00%	02-20 8:38	PAUSE_BUY	100%	乖離年線過大/過熱	0.205	1.44			
VTI	40	291.77	USD	338.19	13527.6	13%	1856.8	16%	338.75	47.9	15%	1.05	1.57	1.06	-6%	-20%	1.8	DCA_ONLY	1.11%	02-20 8:38	DCA_ONLY	50%	維持長期定投	0.123	0.22			
BND	6	72.01	USD	74.82	448.92	0%	16.86	4%	74.55	64.3	6%	-0.62	-0.86	0.04	-2%	-9%	-	PARK_CASH	3.83%	02-20 8:38	PARK_CASH	10%	防禦/現金停泊	-0.034	-0.01			
VXUS	45	61.69	USD	82.38	3707.1	4%	931.05	34%	81.95	64.5	14%	0.85	1.24	1.07	-5%	-15%	1.4	DCA_ONLY	2.91%	02-20 8:38	DCA_ONLY	50%	維持長期定投	0.100	0.12			
VTI	32.7	305.41	USD	338.19	11058.813	11%	1071.906	11%	338.75	47.9	15%	1.05	1.57	1.06	-6%	-20%	1.8	DCA_ONLY	1.11%	02-20 8:38	DCA_ONLY	50%	維持長期定投	0.123	0.22			
BND	72.87	64.76	USD	74.82	5452.1334	5%	733.0722	16%	74.55	64.3	6%	-0.62	-0.86	0.04	-2%	-9%	-	PARK_CASH	3.83%	02-20 8:38	PARK_CASH	10%	防禦/現金停泊	-0.034	-0.01			
VXUS	65.24	81.78	USD	82.38	5374.4712	5%	39.144	1%	81.95	64.5	14%	0.85	1.24	1.07	-5%	-15%	1.4	DCA_ONLY	2.91%	02-20 8:38	DCA_ONLY	50%	維持長期定投	0.100	0.12			
SOXX	3.17	284.39	USD	355.84	1128.0128	1%	226.4965	25%	351.78	58.2	35%	0.95	1.4	0.87	-13%	-42%	1.5	PAUSE_BUY	0.48%	02-20 8:38	PAUSE_BUY	100%	乖離年線過大/過熱	0.272	0.40			
006208.TW	2022	112.08	TWD	178.65	361230.3	22%	134604.54	59%	169.96	75.5	22%	1.45	2.14	1.4	-8%	-28%	1.2	PAUSE_BUY	2.48%	02-20 8:38	PAUSE_BUY	100%	乖離年線過大/過熱	0.325	-0.09			
0052.TW	5686	17.65	TWD	46.07	261954.02	16%	161596.12	161%	43.7	75.1	25%	1.53	2.25	1.52	-10%	-31%	1.2	PAUSE_BUY	1.00%	02-20 8:38	PAUSE_BUY	100%	乖離年線過大/過熱	0.389	-0.09			
2347.TW	1269	64.7	TWD	68.7	87180.3	5%	5076	6%	66.48	70.2	26%	0.11	0.15	0.09	-10%	-37%	1.3	DCA_ONLY	5.82%	02-20 8:38	DCA_ONLY	50%	維持長期定投	0.038	-0.06			
00985A.TW	11500	10.72	TWD	15.53	178595	11%	55315	45%	15.04	69.8	19%	4.23	6.9	21.03	-7%	-6%	-	PARK_CASH	0.00%	02-20 8:38	PARK_CASH	10%	防禦/現金停泊	0.776	0.07			
00988A.TW	10000	10	TWD	12	120000	7%	20000	20%	10.52	89.9	55%	2.01	5.23	19.58	-21%	-9%	-	PARK_CASH	10%	防禦/現金停泊	1.094	1.66			
009805.TW	13000	12.91	TWD	14.18	184340	11%	16510	10%	13.75	64.6	21%	2.26	3.67	7.7	-8%	-8%	1.5	DCA_ONLY	0.00%	02-20 8:38	DCA_ONLY	50%	維持長期定投	0.436	0.15			
009812.TW	10000	10.01	TWD	12.46	124600	8%	24500	24%	11.67	85.7	14%	3.57	7.16	20.13	-5%	-3%	1.5	DCA_ONLY	0.00%	02-20 8:38	DCA_ONLY	50%	維持長期定投	0.500	-0.03			
009813.TW	10000	10	TWD	10.42	104200	6%	4200	4%	10.44	48.1	14%	0.02	0.03	0.7	-5%	-5%	1.5	DCA_ONLY	0.00%	02-20 8:38	DCA_ONLY	50%	維持長期定投	0.003	-0.02			
